Month,Day,Hour,Eat,Shower,Snack,Music,Hydrate,Caffeine,Interaction,Partner,Activity,Break,Temp,Weather,Main Activity,Energy (1-5),Happiness (1-5),Notes,
11,24,6-7p,Y,N,N,N,0,0,0,5,15,60,50,Clear,Dinner Routine,3,3,,
11,24,7-8p,N,N,Y,N,2,0,0,5,5,30,48,Clear,Technical,3.5,3,,
11,24,8-9p,N,N,N,N,0,0,5,5,5,60,48,Mostly Cloudy,Gaming,3.5,4,,
11,24,9-10p,Y,N,N,N,2,0,0,2,5,30,48,Cloudy,Gaming,3,4,,
11,24,10-11p,Y,N,N,N,2,0,5,0,5,35,47,Cloudy,Project,3,3,,
11,24,11-12a,N,N,N,N,0,0,5,0,0,60,47,Cloudy,Gaming,2.5,3,,
11,25,8-9a,N,N,N,N,0,0,0,0,0,80,43,Clear,Sleeping,,,,
11,25,9-10a,N,N,N,N,0,0,0,1,0,40,47,Sunny,Sleeping,3,4,,
11,25,10-11a,N,N,N,N,0,0,0,0,0,0,47,Sunny,Technical,3,3,,
11,25,11a-12p,N,Y,N,N,0,0,0,5,60,0,54,Sunny,Morning Routine,3,2,Misunderstanding w honey,
11,25,12-1p,N,N,N,N,0,0,5,0,0,35,55,Sunny,Techincal,3,3.5,,
11,25,1-2p,N,N,N,N,0,0,5,0,0,60,55,Mostly Sunny,Gaming,3,3.5,,
11,25,2-3p,N,N,N,N,0,0,5,0,0,60,56,Mostly Sunny,Gaming,3,3.5,,
11,25,3-4p,N,N,N,N,0,0,5,0,0,20,57,Mostly Sunny,Techincal,3,3,,
11,25,4-5p,N,N,N,N,0,0,0,4,20,20,51,Sunny,Techincal,4,3.5,,
11,25,5-6p,N,N,N,N,0,2,0,3,10,10,52,Mostly Cloudy,Techincal,4,3.5,,
11,25,6-7p,N,N,N,N,0,2,0,0,0,30,50,Mostly Cloudy,Gaming,3,3,,
11,25,7-8p,N,N,N,N,0,0,0,0,0,0,49,Cloudy,Techincal,3,2,Frustrated at code,
11,25,8-9p,N,N,N,N,0,0,0,2,5,5,48,Cloudy,Techincal,3,3,,
11,25,9-10p,N,N,N,N,0,0,0,5,5,30,48,Cloudy,Techincal,3.5,3.5,,
11,25,10-11p,N,N,N,N,0,0,5,5,0,10,48,Rainy,Gaming,4,3.5,,
11,25,11-12a,N,N,N,N,0,0,5,0,0,40,47,Rainy,Gaming,4,3,,
11,26,8-9a,N,N,N,N,0,0,0,0,0,60,41,Sunny,Sleeping,,,Oversleeping,
11,26,9-10a,N,N,N,N,0,0,0,0,0,60,42,Mostly Sunny,Sleeping,,,Oversleeping,
11,26,10-11a,N,N,N,N,0,0,0,0,0,60,42,Mostly Sunny,Sleeping,,,Oversleeping,
11,26,11a-12p,N,N,N,N,0,0,0,0,0,60,43,Sunny,Sleeping,,,Oversleeping,Stayed up late
11,26,12-1p,N,N,N,N,0,0,1,0,0,30,42,Mostly Cloudy,Technical,3,3,,
11,26,1-2p,N,N,N,N,0,0,0,0,0,60,42,Mostly Cloudy,Break,3,3,,
11,26,2-3p,N,N,N,N,0,0,2,0,0,60,43,Mostly Cloudy,Break,3,3,,
11,26,3-4p,N,N,N,N,0,0,0,2,0,25,41,Mostly Cloudy,Technical,3,3,,
11,26,4-5p,N,N,N,N,0,0,1,1,15,40,38,Mostly Cloudy,Break,3,3.5,,
11,26,5-6p,Y,N,N,N,0,2,0,5,5,60,36,Clear,Dinner Routine,4,4,,
11,26,6-7p,N,N,N,N,0,2,3,5,5,60,35,Clear,Break,4,4,,
11,26,7-8p,N,N,N,N,0,0,5,4,0,15,36,Clear,Gaming,3.5,4,,
11,26,8-9p,N,N,N,N,0,0,5,2,0,60,36,Clear,Gaming,3.5,4,,
11,26,9-10p,N,N,N,N,0,0,5,0,0,60,37,Clear,Gaming,3.5,4,,
11,26,10-11p,N,N,N,N,0,0,5,0,0,60,37,Cloudy,Gaming,3.5,4,,
11,26,11-12a,N,N,N,N,0,0,5,0,0,60,37,Cloudy,Gaming,4,4,,
11,27,8-9a,N,N,N,N,0,0,0,0,0,60,28,Sunny,Sleeping,,,,
11,27,9-10a,N,N,N,N,0,0,0,0,0,60,37,Sunny,Sleeping,,,,
11,27,10-11a,N,N,N,N,0,0,0,0,0,60,42,Sunny,Sleeping,,,,
11,27,11a-12p,N,N,N,N,0,0,0,0,0,60,49,Mostly Sunny,Sleeping,,,,
11,27,12-1p,N,N,N,N,0,0,0,5,5,60,53,Mostly Sunny,Break,3,3,,
11,27,1-2p,N,N,N,N,0,0,5,5,0,60,54,Sunny,Gaming,3.5,3.5,,
11,27,2-3p,N,N,N,N,0,0,3,1,0,60,55,Sunny,Break,4,4,,
11,27,3-4p,N,N,N,N,0,0,3,1,0,60,48,Mostly Sunny,Break,4,4,,
11,27,4-5p,N,N,Y,N,0,0,4,1,5,45,40,Sunny,Break,4,4,,
11,27,5-6p,N,N,N,N,0,0,2,0,0,20,39,Sunny,Technical,4,4,,
11,27,6-7p,N,N,N,N,1,0,1,2,0,0,40,Clear,Technical,3,3,,
11,27,7-8p,N,N,N,N,0,0,2,1,5,0,39,Clear,Technical,3,3,,
11,27,8-9p,N,Y,N,N,0,0,0,5,30,60,38,Clear,Break,4,4,,
11,27,9-10p,N,N,N,N,1,0,0,4,15,60,38,Mostly Clear,Gaming,3,4,,
11,27,10-11p,N,N,N,N,0,0,2,0,0,60,40,Clear,Gaming,3,4,,
11,27,11-12a,N,N,N,N,1,0,4,0,0,60,41,Clear,Gaming,3,3,,
